date_time,series,value
2023-06-13 12:13:18,spec1,1019
2023-06-13 12:13:18,spec2,1018
2023-06-13 12:13:18,spec3,1017
2023-06-13 12:13:18,spec4,1016
2023-06-13 12:13:18,spec5,1016
2023-06-13 12:13:18,spec6,1016
2023-06-13 12:13:18,spec7,1016
2023-06-13 12:13:18,spec8,1015
2023-06-13 12:13:18,spec9,1015
2023-06-13 12:13:18,spec10,1015
2023-06-13 12:13:18,spec11,1016
2023-06-13 12:13:18,spec12,1017
2023-06-13 12:13:18,spec13,1019
2023-06-13 12:13:18,spec15,1026
2023-06-13 12:13:18,spec16,1029
2023-06-13 12:13:18,spec17,1032
2023-06-13 12:13:18,spec18,1034
2023-06-13 12:13:18,spec19,1037
2023-06-13 12:13:18,spec20,1038
2023-06-13 12:13:18,spec21,1038
2023-06-13 12:13:18,spec22,1037
2023-06-13 12:13:18,spec23,1035
2023-06-13 12:13:18,spec24,1031
2023-06-13 12:13:18,spec25,1027
2023-06-13 12:15:10,spec14,1022
2023-06-13 12:15:10,spec25,1024
2023-06-13 12:15:10,spec24,1030
2023-06-13 12:15:10,spec23,1033
2023-06-13 12:15:10,spec22,1036
2023-06-13 12:15:10,spec21,1037
2023-06-13 12:15:10,spec20,1037
2023-06-13 12:15:10,spec19,1036
2023-06-13 12:15:10,spec18,1034
2023-06-13 12:15:10,spec17,1031
2023-06-13 12:15:10,spec16,1028
2023-06-13 12:15:10,spec15,1025
2023-06-13 12:15:10,spec13,1019
2023-06-13 12:15:10,spec12,1016
2023-06-13 12:15:10,spec11,1014
2023-06-13 12:15:10,spec10,1014
2023-06-13 12:15:10,spec9,1014
2023-06-13 12:15:10,spec8,1014
2023-06-13 12:15:10,spec7,1014
2023-06-13 12:15:10,spec6,1014
2023-06-13 12:15:10,spec5,1014
2023-06-13 12:15:10,spec4,1014
2023-06-13 12:15:10,spec3,1015
2023-06-13 12:15:10,spec2,1016
2023-06-13 12:15:10,spec1,1017
2023-06-13 12:17:02,spec18,1033
2023-06-13 12:17:02,spec19,1035
2023-06-13 12:17:02,spec20,1036
2023-06-13 12:17:02,spec21,1036
2023-06-13 12:17:02,spec22,1036
2023-06-13 12:17:02,spec23,1033
2023-06-13 12:17:02,spec24,1029
2023-06-13 12:17:02,spec25,1023
2023-06-13 12:17:02,spec17,1030
2023-06-13 12:17:02,spec9,1012
2023-06-13 12:17:02,spec1,1015
2023-06-13 12:17:02,spec2,1015
2023-06-13 12:17:02,spec3,1015
2023-06-13 12:17:02,spec4,1014
2023-06-13 12:17:02,spec5,1013
2023-06-13 12:17:02,spec6,1012
2023-06-13 12:17:02,spec7,1012
2023-06-13 12:17:02,spec8,1011
2023-06-13 12:17:02,spec10,1013
2023-06-13 12:17:02,spec11,1014
2023-06-13 12:17:02,spec12,1015
2023-06-13 12:17:02,spec13,1017
2023-06-13 12:17:02,spec14,1019
2023-06-13 12:17:02,spec15,1022
2023-06-13 12:17:02,spec16,1026
2023-06-13 12:18:53,spec16,1025
2023-06-13 12:18:53,spec25,1021
2023-06-13 12:18:53,spec24,1026
2023-06-13 12:18:53,spec23,1030
2023-06-13 12:18:53,spec22,1034
2023-06-13 12:18:53,spec21,1034
2023-06-13 12:18:53,spec20,1034
2023-06-13 12:18:53,spec19,1032
2023-06-13 12:18:53,spec18,1031
2023-06-13 12:18:53,spec17,1028
2023-06-13 12:18:53,spec15,1022
2023-06-13 12:18:53,spec14,1020
2023-06-13 12:18:53,spec13,1017
2023-06-13 12:18:53,spec12,1014
2023-06-13 12:18:53,spec11,1012
2023-06-13 12:18:53,spec10,1010
2023-06-13 12:18:53,spec9,1010
2023-06-13 12:18:53,spec8,1009
2023-06-13 12:18:53,spec7,1010
2023-06-13 12:18:53,spec6,1010
2023-06-13 12:18:53,spec5,1012
2023-06-13 12:18:53,spec4,1012
2023-06-13 12:18:53,spec3,1013
2023-06-13 12:18:53,spec2,1013
2023-06-13 12:18:53,spec1,1014
2023-06-13 12:20:45,spec11,1012
2023-06-13 12:20:45,spec21,1033
2023-06-13 12:20:45,spec20,1033
2023-06-13 12:20:45,spec19,1032
2023-06-13 12:20:45,spec18,1030
2023-06-13 12:20:45,spec17,1028
2023-06-13 12:20:45,spec16,1025
2023-06-13 12:20:45,spec15,1021
2023-06-13 12:20:45,spec14,1017
2023-06-13 12:20:45,spec13,1015
2023-06-13 12:20:45,spec12,1013
2023-06-13 12:20:45,spec22,1032
2023-06-13 12:20:45,spec10,1011
2023-06-13 12:20:45,spec9,1010
2023-06-13 12:20:45,spec8,1010
